trial_id,title,status,phase,enrollment,enrollment_type,study_type,sponsor,sponsor_class,eligibility_words,start_date,completion_date
NCT00691301,"Pemetrexed and Cisplatin in Treating Patients With Advanced, Persistent, or Recurrent Cervical Cancer",COMPLETED,PHASE2,55.0,,INTERVENTIONAL,Gynecologic Oncology Group,,435,2008-09,
NCT01130701,"A Pilot Study to Evaluate the Efficacy and Safety of Neoadjuvant Chemoradiotherapy With Capecitabine, . . .",WITHDRAWN,PHASE2,0.0,,INTERVENTIONAL,"University of Massachusetts, Worcester",,518,2010-05,
NCT02965001,Phase II Trial: uPAR-PET/CT for Prognostication in Head- and Neck Cancer,COMPLETED,PHASE2,57.0,,INTERVENTIONAL,"Rigshospitalet, Denmark",,72,2016-11,
NCT05383001,"Randomized Phase II, Open-label Efficacy and Safety Study of Second-line Durvalumab Plus Tremelimumab Versus Platinum-based Chemotherapy Alone in Patients With NSCLC and First-line Checkpoint-inhibitor Therapy (Re-Check)",WITHDRAWN,PHASE2,0.0,,INTERVENTIONAL,AIO-Studien-gGmbH,,1343,2022-05-20,
NCT04983901,"PHASE II SINGLE-CENTER, RANDOMIZED, OPEN-LABEL, PROSPECTIVE, STUDY TO DETERMINE THE IMPACT OF SERIAL PROCALCITONIN",COMPLETED,PHASE2,100.0,,INTERVENTIONAL,M.D. Anderson Cancer Center,,499,2021-09-14,
NCT03358212,Safety and Efficacy of Post-operative Denosumab Strategy for Giant Cell Tumor of Bone Treatment in China,UNKNOWN,,100.0,,OBSERVATIONAL,Peking University People's Hospital,,76,2018-03-01,
NCT05555212,To Evaluate the Efficacy of QLH11811 in Advanced NSCLC Patients With EGFR Mutation,UNKNOWN,PHASE1,72.0,,INTERVENTIONAL,"Qilu Pharmaceutical Co., Ltd.",,1629,2022-10-25,
NCT06730581,Utidelone Capsule Monotherapy for Patients with Advanced Solid Tumors,NOT_YET_RECRUITING,PHASE2,100.0,,INTERVENTIONAL,"Beijing Biostar Pharmaceuticals Co., Ltd.",,1339,2024-12-01,
NCT01853319,Regorafenib in Subjects With Metastatic Colorectal Cancer (mCRC) Who Have Progressed After Standard Therapy,COMPLETED,PHASE3,100.0,,INTERVENTIONAL,Bayer,,207,2013-07-24,
NCT05053230,A Study Evaluating the Integrative Medicine at Home (IM@HOME) Program in People With Cancer,RECRUITING,NA,480.0,,INTERVENTIONAL,Memorial Sloan Kettering Cancer Center,,311,2021-09-20,
NCT05647330,Hydroxychloroquine Combined With Gemcitabine in the Treatment of Advanced Non-small Cell Lung Cancer,UNKNOWN,PHASE2,55.0,,INTERVENTIONAL,Henan Cancer Hospital,,552,2022-12-15,
NCT05241028,Adjuvant Therapy of Ensartinib in Stage IB-IIIA ALK-positive Non-small Cell Lung Cancer,RECRUITING,PHASE2,80.0,,INTERVENTIONAL,Hebei Medical University Fourth Hospital,,383,2022-05-01,
NCT02620228,Identification of Liver Tumours Using BIP - Biopsy System,COMPLETED,NA,26.0,,INTERVENTIONAL,Injeq Ltd,,69,2016-06-09,
NCT06962865,A Phase Ⅱ Study of RC108 in Combination With Furmonertinib for the First-line Treatment of EGFR-Mutated Combined MET-Positive Unresectable Locally Advanced or Recurrent Metastatic NSCLC,RECRUITING,PHASE2,80.0,,INTERVENTIONAL,"RemeGen Co., Ltd.",,472,2025-06-30,
NCT00166465,Stage IV Colorectal CA ALIMTA,COMPLETED,"PHASE1, PHASE2",200.0,,INTERVENTIONAL,Mayo Clinic,,828,2003-08,
NCT02913365,"Etiologies, Investigations and Outcomes of Patients Presenting With Hemoptysis",UNKNOWN,,1000.0,,OBSERVATIONAL,Université de Sherbrooke,,93,2012-10,
NCT04503967,Efficacy and Safety of Anlotinib Hydrochloride Combined With Nivolumab in the Treatment of Gastric and Esophageal Cancer,UNKNOWN,PHASE2,48.0,,INTERVENTIONAL,Shanghai Zhongshan Hospital,,1378,2020-08-01,
NCT02371967,A Study to Assess the Effectiveness and Safety of Vismodegib (Erivedge®) in Participants With Advanced Basal Cell Carcinoma (BCC),COMPLETED,,50.0,,OBSERVATIONAL,Hoffmann-La Roche,,118,2015-04-08,
NCT02716792,A Study to Evaluate Renal Safety of Intravenous Ibandronate (Bondronat) in Participants With Metastatic Bone Disease Due to Breast Cancer,COMPLETED,PHASE3,334.0,,INTERVENTIONAL,Hoffmann-La Roche,,191,2006-01,
NCT07115992,Efficacy and Safety of Radical Prostatectomy (RP) With or Without Salvage Radiotherapy Versus RP With Extended Pelvic Lymph Node Dissection for Localized Intermediate- and High-risk Prostate Cancer With a Briganti Nomogram≥7%,RECRUITING,NA,270.0,,INTERVENTIONAL,Ruijin Hospital,,178,2025-07-30,
NCT07368192,"Community-Based Exercise Oncology: Real-World Evidence of High Adherence, Improved Quality of Life and Cost-Effectiveness Across the Cancer Continuum",ACTIVE_NOT_RECRUITING,,492.0,,OBSERVATIONAL,University of Castilla-La Mancha,,100,2022-01-10,
NCT03635892,A Study of Nivolumab In Combination With Cabozantinib in Patients With Non-Clear Cell Renal Cell Carcinoma,ACTIVE_NOT_RECRUITING,PHASE2,60.0,,INTERVENTIONAL,Memorial Sloan Kettering Cancer Center,,1495,2018-08-13,
NCT02043236,Strategies to Improve Bone Health in Men on ADT,COMPLETED,NA,159.0,,INTERVENTIONAL,"University Health Network, Toronto",,41,2013-11,
NCT01466036,Cabozantinib in Advanced Pancreatic Neuroendocrine and Carcinoid Tumors,COMPLETED,PHASE2,61.0,,INTERVENTIONAL,Dana-Farber Cancer Institute,,815,2012-07,
NCT06543511,MyeloGen: Germline Testing for Predisposition to Myeloid Malignancies,WITHDRAWN,NA,0.0,,INTERVENTIONAL,Dana-Farber Cancer Institute,,76,2024-07-29,
NCT05741944,The Value of a Risk Prediction Tool (PERSARC) for Effective Treatment Decisions of Soft-tissue Sarcomas Patients,ACTIVE_NOT_RECRUITING,NA,120.0,,INTERVENTIONAL,Leiden University Medical Center,,116,2021-08-24,
NCT02109744,Study of Decitabine in Combination With Sequential Rapamycin or Ribavirin in High Risk AML Patients,COMPLETED,"PHASE1, PHASE2",27.0,,INTERVENTIONAL,University of Rochester,,255,2014-03,
NCT06535334,Intraperitoneal Chemotherapy in Recurrent Ovarian Cancer,NOT_YET_RECRUITING,,80.0,,OBSERVATIONAL,Far Eastern Memorial Hospital,,48,2024-08-15,
NCT03762564,Study With Paclitaxel +/- Ramucirumab in Patients With Squamous-cell Carcinoma of the Esophagus After Prior Therapy,COMPLETED,PHASE2,21.0,,INTERVENTIONAL,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,,1203,2019-03-08,
NCT04445064,Activity and Safety of Peptide-based Immunotherapy in Patients With Squamous Cell Carcinoma of the Head and Neck.,TERMINATED,PHASE2,17.0,,INTERVENTIONAL,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,,586,2020-08-14,
NCT02334709,Phase I/II Trial of Stereotactic Body Radiotherapy With Concurrent Fixed Dose Tyrosine Kinase Inhibitors in Metastatic Renal Cell Carcinoma: Dose Limiting Toxicity and Abscopal Effect.,COMPLETED,"PHASE1, PHASE2",13.0,,INTERVENTIONAL,"University Hospital, Ghent",,83,2014-02,
NCT03592199,Biomarker Study of Pts With Metastatic ccRCC Undergoing Sequential Therapy With 1st Line Sunitinib and 2nd Line Axitinib,UNKNOWN,PHASE2,7.0,,INTERVENTIONAL,Instituto do Cancer do Estado de São Paulo,,365,2017-12-11,
NCT00234299,Effects of ASA on Prostate Tissue,COMPLETED,NA,60.0,,INTERVENTIONAL,University of Washington,,336,2005-12,
NCT07455032,Neoadjuvant CADI-05 in Combination With Pembrolizumab for Surgically Resectable Locally Advanced Head and Neck Squamous Cell Carcinomas,NOT_YET_RECRUITING,PHASE1,22.0,,INTERVENTIONAL,Fox Chase Cancer Center,,853,2026-03-02,
NCT02622932,"Study to Investigate the Absorption, Metabolism and Excretion of [14C] Anlotinib in Patients With Advanced Cancer Patients",COMPLETED,PHASE1,6.0,,INTERVENTIONAL,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",,145,2015-12-02,
NCT02902432,A Trial of Endostar in Patients With Carcinoma of the Head and Neck,UNKNOWN,PHASE2,24.0,,INTERVENTIONAL,China International Medical Foundation,,255,2016-06,
NCT00027898,Bortezomib and Combination Chemotherapy in Treating Patients With Advanced Solid Tumors,COMPLETED,PHASE1,27.0,,INTERVENTIONAL,National Cancer Institute (NCI),,273,2002-01,
NCT06716593,Trajectory of Body Composition Identifies LAGC with Cachexia Following NACT,COMPLETED,,600.0,,OBSERVATIONAL,"Chang-Ming Huang, Prof.",,85,2024-09-12,
NCT03642093,HOPE - A Study to Evaluate the Effect of a Prehabilitation Program on GI Cancer Patients Planning to Undergo Surgery,UNKNOWN,PHASE4,60.0,,INTERVENTIONAL,Siobhan Trotter,,203,2018-08-01,
NCT01332721,Study of TRC105 Combined With Standard-Dose Bevacizumab for Advanced Solid Tumors for Which Bevacizumab is Indicated,COMPLETED,PHASE1,38.0,,INTERVENTIONAL,Tracon Pharmaceuticals Inc.,,447,2011-04,
NCT06494514,NALIRIFOX Combined With PD-1 Sequential Radiotherapy Versus AG Combined With PD-1 Sequential Radiotherapy as First-line Treatment of Locally Advanced Pancreatic Cancer,RECRUITING,NA,40.0,,INTERVENTIONAL,Du Juan,,82,2024-04-01,
